sofifa_id;name;team;position;foot;best_position;height;weight;age;ova;pot;growth;gk_handling;weak_foot;international_reputation;team_position;pac;sho;pas;dri;def;phy;wage;value
205632;L. Ocampos;Sevilla FC;Atacante;Right;LW;188;84;26;82;82; 0; 8;3;2; 4;81;82;78;83;62;83; 42000; 33500000
256261;M. Thiaw;FC Schalke 04;Defensor;Right;CB;191;80;19;71;83;12; 6;5;1; 2;73;44;58;64;70;73;  4000;  4200000
233927;Lucas Paqueta;Olympique Lyonnais;Atacante;Left;CAM;180;72;23;81;86; 5; 9;4;2; 4;75;77;78;85;69;77; 65000; 39000000
246340;M. Mudryk;Shakhtar Donetsk;Atacante;Right;RM;175;61;20;73;84;11;12;4;1; 4;87;60;65;76;44;58;   650;  6500000
255475;Antony;Ajax;Atacante;Left;LM;174;63;21;82;89; 7;10;3;2; 4;93;75;74;86;39;68; 21000; 62000000
228336;F. Grillitsch;TSG Hoffenheim;Defensor;Right;CM;187;77;25;78;81; 3;12;3;2; 2;67;60;78;78;73;66; 32000; 17000000
226271;Fabian;Napoli;Meio-Campo;Left;CM;189;70;25;82;84; 2;11;3;2; 3;63;78;79;82;74;71; 77000; 38000000
252027;A. Vranckx;VfL Wolfsburg;Meio-Campo;Right;CM;183;78;18;72;84;12;14;5;1; 3;68;63;69;75;63;75; 13000;  5500000
253177;Y. Musah;Valencia CF;Atacante;Right;RM;178;73;18;73;83;10; 6;3;1; 4;86;69;65;73;58;68;  9000;  6500000
240702;R. Yaremchuk;SL Benfica;Atacante;Right;ST;191;79;25;76;79; 3;15;3;1; 4;79;75;70;71;45;74; 14000; 10000000
232293;V. Osimhen;Napoli;Atacante;Right;ST;185;78;22;82;88; 6;14;4;2; 4;90;82;64;77;40;81; 77000; 49500000
244892;S. Diop;AS Monaco;Atacante;Right;CAM;175;65;21;78;86; 8;13;3;1; 4;74;72;75;83;54;56; 37000; 31500000
251470;C. De Ketelaere;Club Brugge KV;Atacante;Left;CAM;192;79;20;77;87;10; 8;4;1; 4;76;76;76;79;57;73; 22000; 23500000
220407;M. Dubravka;Newcastle United;Goleiro;Right;GK;190;80;32;79;79; 0;76;2;2; 1;78;76;79;80;46;77; 35000;  8500000
265194;Iker Bravo;Bayer 04 Leverkusen;Defensor;Right;ST;182;75;16;63;83;20; 6;4;1; 2;69;62;50;62;23;57;  2000;  1300000
199189;R. Barkley;Chelsea;Defensor;Right;CAM;186;76;27;76;76; 0;14;5;2; 2;69;72;76;78;56;72; 81000;  8000000
198951;C. Bakambu;Olympique de Marseille;Defensor;Right;ST;182;73;30;77;77; 0;13;3;2; 2;84;78;69;73;36;68; 41000; 10500000
251445;Samuel Lino;Gil Vicente FC;Atacante;Right;LW;178;66;21;74;82; 8; 9;3;1; 4;82;71;67;76;30;63;  8000;  9500000
264240;Gavi;FC Barcelona;Atacante;Right;CAM;173;68;16;77;89;12;10;3;1; 4;76;60;75;82;61;67; 14000; 24000000
242516;C. Gakpo;PSV;Atacante;Right;RM;189;76;22;81;86; 5;11;4;1; 4;86;80;75;82;41;73; 22000; 39500000
255253;Vitinha;FC Porto;Atacante;Right;CAM;173;64;21;78;88;10;13;3;1; 4;73;68;77;83;67;55; 12000; 31500000
210255; M. Pogba;Sparta Rotterdam;Meio-Campo;Right;ST;190;87;25;63;64; 1;14;2;1; 3;70;59;49;57;22;74;  3000;   400000
248695;W. Fofana;Leicester City;Defensor;Right;CB;190;76;20;78;86; 8;12;3;1; 2;74;37;55;64;80;77; 57000; 29000000
239380;N. Lang;Club Brugge KV;Atacante;Right;CAM;179;69;22;78;85; 7; 7;3;1; 4;84;73;72;83;50;67; 27000; 28500000
179813;E. Cavani;Manchester United;Atacante;Right;ST;185;77;34;82;82; 0; 5;4;4; 4;63;83;69;73;51;76;145000; 15000000
262621;G. Mamardashvili;Valencia CF;Goleiro;Left;GK;199;88;20;77;83; 6;77;3;1; 1;78;77;74;79;44;79; 16000; 13000000
261360;N. Mbamba;Club Brugge KV;Defensor;Right;CB;188;75;16;64;88;24;11;3;1; 2;72;32;51;63;61;71;   500;  1700000
239301;L. Martinez;Ajax;Defensor;Left;CDM;178;77;23;80;85; 5;14;3;2; 2;72;60;76;77;81;81; 17000; 29000000
239350;S. Dembele;AFC Bournemouth;Atacante;Right;ST;173;67;24;69;74; 5;10;5;1; 4;89;67;62;74;32;55; 15000;  2100000
240833;Y. Moukoko;Borussia Dortmund;Meio-Campo;Left;ST;175;73;16;69;89;20;13;4;1; 3;84;68;53;76;32;60;  5000;  3800000
239901;S. Kalajdzic;VfB Stuttgart;Atacante;Right;ST;200;90;23;77;82; 5; 6;3;2; 4;62;73;66;73;45;69; 27000; 16000000
